Exp,HF
R1,5.7
R2,7.0
R3,10.0
R4,12.6
R5,18.4
R6,NaN
R7,NaN
R8,NaN
R9,NaN
R10,NaN
R11,9.0
R12,16.6
R13,36.8
R14,50.2
R15,NaN
R16,4.6
R17,5.1
R18,3.8
R19,3.0
R20,NaN
R21,1.6
R22,2.8
R23,1.9
R24,2.5
R25,3.4
R26,NaN
R27,1.6
R28,2.4
R29,3.1
R30,2.7
R31,1.9
R32,3.1
R33,4.4
R34,7.3
R35,8.6
R36,2.2
R37,3.6
R38,6.3
R39,11.7
R40,17.6
