Exp,HF
R1,NaN
R2,NaN
R3,17.1
R4,20.6
R5,26.4
R6,2.6
R7,4.3
R8,7.0
R9,14.3
R10,NaN
R11,2.8
R12,3.8
R13,5.5
R14,7.7
R15,NaN
R16,1.2
R17,1.6
R18,2.6
R19,3.3
R20,3.1
R21,1.3
R22,1.7
R23,1.4
R24,1.9
R25,NaN
R26,NaN
R27,1.2
R28,NaN
R29,NaN
R30,NaN
R31,3.9
R32,4.8
R33,3.0
R34,NaN
R35,NaN
R36,7.3
R37,11.9
R38,19.4
R39,28.7
R40,14.6
